3	1.236155393	0	0.093650764
5	2.22445143	0	0.421012961
7	3.057480424	0	0.685656049
9	3.981022519	0	1.264415277
11	5.7894407	0	2.402609979
13	6.699136585	0	3.199930174
6	2.430567426	0	0.449476728
8	3.926898639	0	0.446952407
10	4.32783127	0	1.206983235
12	6.298905708	0	0.658130171
14	7.763941266	0	0.713357465
16	7.778841183	0	1.692859238
3.5	1.516400648	0	0.107844088
4.5	1.958256478	0	0.168657442
5.5	2.69563847	0	0.351603308
6.5	2.880956079	0	0.450664271
7.5	3.196131862	0	0.90834659
8.5	3.57830951	0	1.019020001
9.5	3.862159962	0	0.783219464
10.5	5.686492974	0	0.341269723
11.5	5.974772308	0	0.533505247
12.5	5.705984752	0	1.050923474
13.5	7.352458451	0	0.282373721
14.5	7.772610175	0	0.551871607
15.5	8.695255819	0	0.539164308
16.5	9.003660825	0	0.64554365
17.5	9.533654315	0	0.625217637
15	8.593973247	0	0.527901262
16	8.092885447	0	0.59259081
17	8.940793202	0	0.575020847
18	9.788023295	0	0.696091673
